County,Raw Address,Notes,Name,source
Douglas,"7775 Malone Street
Douglasville, GA 30134",,JESSE DAVIS PARK,https://www.celebratedouglascounty.com/562/Drop-Box-Locations
Early,"17 McDonald Ave, Blakey, GA 39823",,,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Echols,"    110 GA-94, Statenville GA 31648",,,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Effingham,"    284 GA Highway 119 S, Springfield GA 31329",,,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Elbert,"    45 Forest Avenue, Elberton GA 30635",,,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Emanuel,"    105 South Main St, Swainsboro GA 30401",,,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Evans,"    201 Freeman Street, Suite 10, Claxton GA 30417",,,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Fannin,"    400 West Main Street, Blueridge Ga 30513",,,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Fayette,"140 Stonewall Avenue West
Fayetteville, Georgia 30214",near Heritage Park Fountain,Fayette County Administrative Complex,https://www.fayettecountyga.gov/elections/
Fayette,"201 Willowbend Road
Peachtree City, Georgia 30269",back of building on ground floor,Peachtree City Public Library,https://www.fayettecountyga.gov/elections/
Fayette,"945 Senoia Road
Tyrone, Georgia 3290",,Tyrone Police Department,https://www.fayettecountyga.gov/elections/
Fayette,"961 Highway 85 Connector
Brooks, Georgia 30205",,Brooks Town Hall,https://www.fayettecountyga.gov/elections/
Floyd,"12 East 4th Avenue, 2nd Floor, Suite 206 Rome, GA 30161 ",on the 1st st. side of the building.,Floyd County Administration Building,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Floyd,205 Riverside PKWY NE Rome GA 30161,,Sara Hightower Library,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Forsyth,"    1201 Sawnee Drive, Cumming GA 30040",,,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
